process_time_seconds,process_time_hms,bottle_distance_to_filler_value,bottle_level_value,conveyor_belt_engine_state,plc1_mode,plc2_mode,supply_pressure,tank_input_flow_value,tank_input_valve_position,tank_input_valve_state,tank_level_value,tank_output_flow_value,tank_output_valve_position,tank_output_valve_state,tank_pressure,label_id
63400.115,17:36:40.115,0.3303303303303303,0.47997997997998,0,1,1,2.5,0.0,0.0,0,0.8955561065652807,0.9461087921280452,1.0,1,0.9555268132524206,0
63400.323,17:36:40.323,0.3303303303303303,0.47997997997998,0,1,1,2.5,0.0,0.0,0,0.8955561065652807,0.9430737647136218,1.0,1,0.9555268132524206,0
63400.536,17:36:40.536,0.3303303303303303,0.47997997997998,0,1,1,2.5,0.0,0.0,0,0.8955561065652807,0.920522336792876,1.0,1,0.9555268132524206,0
63400.743,17:36:40.743,0.3303303303303303,0.4908397452382481,0,1,1,2.5,0.0,0.0,0,0.8952163172346655,0.9413194651380632,1.0,1,0.9555268132524206,0
63400.952,17:36:40.952,0.3303303303303303,0.4908397452382481,0,1,1,2.5,0.0,0.0,0,0.8952163172346655,0.944190485114255,1.0,1,0.9555268132524206,0
63401.16,17:36:41.160,0.3303303303303303,0.4908397452382481,0,1,1,2.5,0.0,0.0,0,0.8952163172346655,0.9535050007815038,1.0,1,0.955228335489014,0
63401.369,17:36:41.369,0.3303303303303303,0.507466860027364,0,1,1,2.5,0.0,0.0,0,0.8948771780630185,0.9603892208909968,1.0,1,0.955228335489014,0
63401.582,17:36:41.582,0.3303303303303303,0.507466860027364,0,1,1,2.5,0.0,0.0,0,0.8948771780630185,0.9518092515020894,1.0,1,0.955228335489014,0
63401.798,17:36:41.798,0.3303303303303303,0.507466860027364,0,1,1,2.5,0.0,0.0,0,0.8948771780630185,0.9579560530506672,1.0,1,0.9549298577256072,0
63402.015,17:36:42.015,0.3303303303303303,0.5189402743315198,0,1,1,2.5,0.0,0.0,0,0.8945494166733103,0.932615422255156,1.0,1,0.9549298577256072,0
63402.225,17:36:42.225,0.3303303303303303,0.5189402743315198,0,1,1,2.5,0.0,0.0,0,0.8945494166733103,0.9302509943383276,1.0,1,0.9546313799622008,0
63402.435,17:36:42.435,0.3303303303303303,0.5189402743315198,0,1,1,2.5,0.0,0.0,0,0.894221655283602,0.9461087921280452,1.0,1,0.9546313799622008,0
63402.668,17:36:42.668,0.3303303303303303,0.5296658299838208,0,1,1,2.5,0.0,0.0,0,0.894221655283602,0.9371203927200958,1.0,1,0.9543329021987942,0
63402.877,17:36:42.877,0.3303303303303303,0.5296658299838208,0,1,1,2.5,0.0,0.0,0,0.894221655283602,0.9242935197406096,1.0,1,0.9543329021987942,0
63403.09,17:36:43.090,0.3303303303303303,0.5445122378383018,0,1,1,2.5,0.0,0.0,0,0.8933933933933933,0.9566907482237264,1.0,1,0.9540344244353876,0
63403.303,17:36:43.303,0.3303303303303303,0.5445122378383018,0,1,1,2.5,0.0,0.0,0,0.8933933933933933,0.965455334063783,1.0,1,0.9540344244353876,0
63403.522,17:36:43.522,0.3303303303303303,0.5445122378383018,0,1,1,2.5,0.0,0.0,0,0.8933933933933933,0.9434616839154388,1.0,1,0.9540344244353876,0
63403.734,17:36:43.734,0.3303303303303303,0.5581796753477419,0,1,1,2.5,0.0,0.0,0,0.8925561925561927,0.9553176576592244,1.0,1,0.9540344244353876,0
63403.952,17:36:43.952,0.3303303303303303,0.5581796753477419,0,1,1,2.5,0.0,0.0,0,0.8925561925561927,0.9689607350572662,1.0,1,0.9540344244353876,0
